photo_id,owner_id,album_id,post_id,post_url,image_url,related_photo_urls,hashtags,date_human,lat,long,poi_lat,poi_lon,distance_meters,poi_name,user_id,user_gender,user_age,user_city,user_city_id,user_kind,post_text,annotation_text_description,annotation_location_type,annotation_photo_type,annotation_is_advertisement,annotation_situation_summary,annotation_city_objects,annotation_city_activities,annotation_user_intent,annotation_has_building,annotation_has_synagogue,annotation_has_feor,annotation_has_other_building,annotation_confidence,model_version,model_timestamp
423419286,354796984,-7,,,"https://sun9-7.userapi.com/s/v1/ig1/dIvBBkO2jP_ZNcWGVv4yBiVMvWUg42c515ZmE68LXDxjHVJGFbnHcmmdMxmk5U9tHvDfTc6E.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,750x750&from=bu&cs=750x0",,,2016-07-15 07:49:46,58.007828,56.235403,58.00819896273859,56.23476395501453,55.84605020547073,synagogue,354796984,,,,,,,Крупный план изделия: жемчужное колье на белом фоне; студийная фотосъемка товара.,indoor,product,True,"Колье из жемчуга изображено на светлом однотонном фоне, снято крупным планом для товарной демонстрации.",,,показать товар,False,False,False,False,0.72,gpt-5-nano,2025-11-20T15:22:13.702964+00:00
457250512,-170690865,-7,,,"https://sun9-63.userapi.com/s/v1/ig2/g8wyS2B9Xs35gzsKe9huUbIBMSeJ2cnRYgPIbytc7ix_p6juvRxL3JGGPdtmCAyfcxEmAEXcxhDqENu8iceaCeGG.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x214,240x320,360x481,480x641,540x721,640x855,720x961,1080x1442,1280x1709,1342x1792&from=bu&cs=1342x0",,,2022-05-31 12:34:15,58.007806,56.234399,58.00819896273859,56.23476395501453,48.698462152861765,synagogue,-170690865,,,,,,,"Женщина в стильной одежде позирует внутри светлого помещения: тёмно-синий пиджак, светлая майка, оливковые широкие брюки и белые кроссовки; на ней солнцезащитные очки. Рядом стул и дверь.",indoor,portrait,False,"Один человек позирует внутри помещения, демонстрируя модный образ; кадр близко к фигуре, поза расслабленная возле стула.","стул, дверь",,показать одежду,True,False,False,False,0.75,gpt-5-nano,2025-11-20T15:22:45.572264+00:00
403011859,261660768,-7,5179.0,https://vk.com/wall261660768_5179,"https://sun9-10.userapi.com/s/v1/ig1/iHPfVE7OCPE-5FzSubItRIrOrIL0_Qr1oq6sT2RwtjKtAwumag0ILoGed8POGt008O2keXJS.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960&from=bu&cs=720x0",,,2016-02-26 13:41:06,58.007905,56.235707,58.00819896273859,56.23476395501453,64.45849538358107,synagogue,261660768,,,,,,,"Женщина в черно-белом клетчатом пальто делает селфи в магазине одежды, перед зеркалом. В кадре видны полки с одеждой, вешалки и ярко-жёлтое пуховое пальто на фоне.",indoor,selfie,False,Покупательница делает селфи в торговом зале магазина одежды перед зеркалом; вокруг висят куртки и пальто.,"зеркало, полки с одеждой, вешалки, примерочные, пуховики, витрины","шопинг, примерка одежды",сделать селфи,True,False,False,False,0.72,gpt-5-nano,2025-11-20T15:23:10.669074+00:00
457239063,653752476,288971012,,,"https://sun9-31.userapi.com/s/v1/if2/jOMD14yhQKiHT1mf29ZGwDUYsFGVNEsqIRr4ZIaPNPmYXMpS0Ok4UpKjIumUNBbOa1rYv7g_XIfVxgVaLSqlNd2g.jpg?quality=95&as=32x20,48x31,72x46,108x69,160x102,240x153,360x230,480x306,540x345,640x408,720x460,1080x689,1280x817,1440x919,2560x1634&from=bu&cs=2560x0",,,2023-03-14 20:58:53,58.007314,56.255479,58.00763133477656,56.255145877976155,40.376225178662175,or avner habad community center,653752476,,,,,,,"Интерьер зала общественного центра: помещение с синей неоновой подсветкой и праздничной елкой, диваны и кресла в зоне отдыха, сцена/подиум и стена с мелкими светящимися точками.",indoor,interior,False,"Без людей, в помещении центра размещена елка, зоны отдыха и световая подсветка, присутствуют сценические элементы и декоративные объекты.","елка, диваны, кресла, сцена/подиум, неоновая фигура, стена со светодиодной подсветкой",,показать интерьер помещения и атмосферу мероприятия,True,False,False,False,0.65,gpt-5-nano,2025-11-20T15:23:37.498510+00:00
457257194,-170690865,-7,,,"https://sun9-53.userapi.com/s/v1/ig2/vmDEsDPBBP5uKjfZ5WoSUQuQ98ARDq-GeBrl3Ro4z-CtMK0nzvYggR2GHLo4sAOH_pzVPNWQX5Vbn7Ld2MSi9nF9.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1398x1864&from=bu&cs=1398x0",,,2023-05-14 13:46:57,58.007813,56.234676,58.00819896273859,56.23476395501453,43.22875901210856,synagogue,-170690865,,,,,,,"Молодая женщина позирует перед нейтральной белой стеной в помещении. Она стоит в джинсах и большой серой футболке, левая рука в кармане, правая держит часть футболки. Спереди слева видно декоративное растение.",indoor,portrait,False,Один человек позирует перед камерой внутри помещения на нейтральном фоне.,растение (палма) слева,,портретная съемка; показать стиль одежды,False,False,False,False,0.75,gpt-5-nano,2025-11-20T15:23:59.722913+00:00
457255611,-170690865,-7,,,"https://sun9-23.userapi.com/s/v1/ig2/bH0w5nBp_t40eLRd2WV2VABJHHryNBELSc1sLfsWWPpKpufijMDfU6zB8KS8uZ-JdqV9p3fAFOGmToyMWLtmuRjM.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1344x1792&from=bu&cs=1344x0",,,2023-02-04 12:04:05,58.007918,56.2342,58.00819896273859,56.23476395501453,45.605044690392624,synagogue,-170690865,,,,,,,"Пост от 2023-02-04 12:04:05: женщина позирует в помещении перед белой стеной; слева стоит ваза с розами. Она в светло-бежевой рубашке, завязанной на талии, коричневой мини-юбке и высоких бежевых сапогах, с серой сумкой через плечо.",indoor,portrait,False,"одна женщина позирует в интерьерe, демонстрируя модный наряд рядом с вазой роз","вза с розами, стена, пол",,показать модный образ,True,False,False,False,0.75,gpt-5-nano,2025-11-20T15:24:47.483027+00:00
457249590,-148841088,-7,,,"https://sun9-57.userapi.com/s/v1/if2/yU-Xko87CiaHl4M-9SrA1ZaX7s2nse6ssd7ba_por0ir2QjlPADLCIPidfUxnlnC5ccW7hHqxhx8Aw3YE9BvHuIl.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480&from=bu&cs=640x0",,,2021-03-06 17:47:00,58.007644,56.233857,58.00819896273859,56.23476395501453,81.62572778642478,synagogue,-148841088,,,,,,,"Портретный снимок: мужчина в кухне делает селфи; в кадре видны кухонные шкафы, плитка и бытовая техника.",indoor,selfie,False,"Человек близко к камере, смотрит в объектив. Кадр снят в кухонном помещении, без заметной активности вокруг.","кухня, шкафы, плитка, кухонная техника",,сделать селфи,True,False,False,False,0.72,gpt-5-nano,2025-11-20T15:25:09.848045+00:00
456247909,108825536,-7,,,"https://sun9-80.userapi.com/s/v1/ig1/OMsMbZEoqCmES4dxwRAtxmKgoJa9XaLDJa587cVuX8eS5JPDa5CNawFDRvSy6hwWmuHCXZJ9.jpg?quality=96&as=32x42,48x63,72x94,108x141,160x209,240x313,360x470,480x627,540x705,640x835,720x940,881x1150&from=bu&cs=881x0",,,2019-03-23 13:38:18,58.007216,56.254858,58.00763133477656,56.255145877976155,49.198630376973874,or avner habad community center,108825536,,,,,,,Портрет мужчины в аудитории: мужчина в костюме сидит за столом и держит в поднятой руке яркую жёлтую книгу. На столе лежат бумаги и зелёная папка; рядом старый деревянный шкаф/шкафчик; позади — школьная доска. Помещение — учебный класс.,indoor,portrait,False,Мужчина в костюме сидит за столом в аудитории и держит книгу; вокруг учебные материалы и классная мебель.,"доска (школьная), стол, стул, книги, зелёная папка, деревянный шкаф",,показать портрет человека в образовательной среде,True,False,False,False,0.72,gpt-5-nano,2025-11-20T15:25:47.167652+00:00
412447378,91579362,-7,,,"https://sun9-23.userapi.com/s/v1/ig1/s81xYs436QDqL5O-AnRg8H8NhDvhLGeaK9by_VIEKrvjtero8IbQJD86i5meAe0RBg0sNw.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640&from=bu&cs=640x0",,,2016-04-21 19:15:01,58.007855,56.23428,58.00819896273859,56.23476395501453,47.70393405944041,synagogue,91579362,,,,,,,"Портрет женщины в белой шляпе на солнечной улице, близкий кадр лица.",outdoor,portrait,False,"Близкий портрет женщины на улице: лицо в кадр, улыбка, солнечный свет, шляпа.",,,сделать портрет,False,False,False,False,0.65,gpt-5-nano,2025-11-20T15:26:10.650813+00:00
457256338,161297621,-7,3932.0,https://vk.com/wall161297621_3932,"https://sun9-51.userapi.com/s/v1/ig2/Jpl3nC0LbpxZVaSHcR8ezX_aWfNPgHoqQF_Pc_MA5fp2mCoLmgV4O-gBvForZHJS0beWVdgwYNXDAzWd5pOPuwI4.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,810x1080&from=bu&cs=810x0",,,2020-02-04 05:39:56,58.007953,56.2349,58.00819896273859,56.23476395501453,28.49991359370714,synagogue,161297621,,,,,,,,unknown,,False,,,,,False,False,False,False,0.0,,2025-11-20T15:26:14.427665+00:00
